type,country,region,lat,lon,price_usd,area_m2,floor,rooms,expenses,property_url
apartment,Argentina,Capital Federal,-34.6198687,-58.4242176,82000.0,33.0,1.0,1.0,1194.0,http://almagro.properati.com.ar/t2g1_venta_departamentos_almagro_treinta-y-tres-orientales_500
apartment,Argentina,Capital Federal,-34.618545,-58.443838,129000.0,72.0,4.0,3.0,,http://caballito.properati.com.ar/10u9l_venta_departamentos_caballito_baulera_lavadero_toilette_luminoso_dependencias_placard_caballito
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.6036844,-58.3815591,159000.0,61.0,,2.0,,http://nordelta.properati.com.ar/x4hn_venta_departamentos_nordelta
house,Argentina,Capital Federal,-34.628398,-58.3619026,240000.0,135.0,,5.0,,http://boca.properati.com.ar/10t85_venta_casa_boca_lavadero_parrilla_quincho_terraza_toilette_vestidor_placard_di-mitrio-inmobiliaria_d2r
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5525805,-58.5585424,80000.0,43.0,,2.0,1000.0,http://villa-ballester.properati.com.ar/yt3s_venta_departamentos_villa-ballester_balcon_piscina_sum_placard_estrenar_matticoli-inmobiliaria_cd2
apartment,Argentina,Capital Federal,-34.5933599,-58.4124669,280000.0,98.0,6.0,,3350.0,http://recoleta.properati.com.ar/11vqo_venta_departamentos_recoleta_balcon_baulera_lavadero_toilette_luminoso_dependencias_garage_losa-radiante_lepore-propiedades
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6367982,-58.689961,120000.0,160.0,,,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/ebb7_venta_casa_ituzaingo
apartment,Argentina,Capital Federal,-34.620556,-58.371667,125151.86,45.0,,1.0,,http://san-telmo.properati.com.ar/118di_venta_departamentos_san-telmo_balcon_gimnasio_garage_aire-acondicionado_nucifora-propiedades_crr
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5500623,-58.5574717,145000.0,75.0,,,,http://san-martin.properati.com.ar/11xo3_venta_departamentos_san-martin_balcon_parrilla_luminoso_garage_mattiassich-propiedades
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.46109,-58.854135,75000.0,1.0,,1.0,,http://derqui.properati.com.ar/12o3g_venta_departamentos_derqui_garage_blanco-propiedades_dii
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4823794,-58.503975,550000.0,206.0,4.0,,,http://acassuso.properati.com.ar/nmxq_venta_departamentos_acassuso_jujuy_100
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4196821702,-58.766240162,195000.0,134.0,,4.0,2000.0,http://barrio-cerrado-la-montura.properati.com.ar/12uxu_venta_casa_pilar_suite_lavadero_parrilla_piscina_toilette_vestidor_luminoso_dependencias_pk50_bgo
apartment,Argentina,Capital Federal,-34.552129,-58.46838,103144.44,45.0,,2.0,,http://nunez.properati.com.ar/sy08_venta_departamentos_palermo
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4643695,-58.5234534,175000.0,145.0,,,,http://beccar.properati.com.ar/suie_venta_departamentos_beccar
apartment,Argentina,Bs.As. G.B.A. Zona Sur,-34.7448264,-58.3950159,132000.0,73.0,,3.0,,http://banfield.properati.com.ar/10w10_venta_departamentos_banfield_balcon_suite_toilette_vestidor_garage_puente-propiedades_9z0
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4355245,-58.5605451,210000.0,0.0,,,,http://san-fernando-bs-as-g-b-a-zona-norte.properati.com.ar/n8o9_venta_departamentos_san-fernando_del-libertador-av-_400
apartment,Argentina,Capital Federal,-34.5733973,-58.421747,485000.0,95.0,,3.0,1.0,http://palermo.properati.com.ar/12n5c_venta_departamentos_palermo_balcon_baulera_suite_gimnasio_lavadero_piscina_toilette_luminoso_vista_sauna_lujoso_dependencias_electrogeno_amenities_subte-linea-d_covello-propiedades_9ij
apartment,Argentina,Capital Federal,-34.5620844,-58.4566864,118885.0,35.0,,1.0,,http://belgrano.properati.com.ar/11lpi_venta_departamentos_belgrano_suite_gimnasio_hidromasaje_garage_amenities_nucifora-propiedades_crr
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5299063,-58.495922,118000.0,42.0,,,,http://florida.properati.com.ar/x5ga_venta_departamentos_florida
apartment,Argentina,Capital Federal,-34.5892291,-58.3909376,190000.0,55.0,,,,http://recoleta.properati.com.ar/ea6x_venta_departamento_recoleta
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4769485645,-58.6352916117,420000.0,250.0,,,,http://solares-del-talar.properati.com.ar/12fr3_venta_casa_solares-del-talar_suite_parrilla_piscina_luminoso_dependencias_impecable_delta-propiedades_cve
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5074199,-58.492631,153000.0,102.0,,4.0,750.0,http://olivos.properati.com.ar/otop_venta_departamentos_olivos
apartment,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6117531,-58.56426,50000.0,57.0,2.0,3.0,85.0,http://caseros.properati.com.ar/yb0c_venta_departamentos_caseros_terraza_pablo-yaryura-propiedades
