region,locality,price_usd,area_m2,floor,rooms,expenses,properati_url,lat,lon
Capital Federal,Liniers,68000.0,45.0,,2.0,,http://liniers.properati.com.ar/rgur_venta_departamentos_liniers,-34.577168,-58.538654
Capital Federal,Congreso,84000.0,46.0,,3.0,,http://congreso.properati.com.ar/v2ne_venta_departamentos_congreso,-34.607673,-58.389289
Capital Federal,Retiro,144500.0,72.0,3.0,3.0,1100.0,http://retiro.properati.com.ar/10ohy_venta_departamentos_retiro_balcon_lavadero_salaya-romera-barrio-norte,-34.5965341,-58.3809608
Capital Federal,Barrio Norte,200000.0,70.0,,1.0,,http://barrio-norte.properati.com.ar/12tda_venta_departamentos_barrio-norte_subte-linea-d_tovado-propiedades_dk1,-34.5958704,-58.3919534
Capital Federal,Belgrano,114000.0,57.0,3.0,2.0,,http://belgrano.properati.com.ar/10773_venta_departamentos_belgrano_balcon_baulera_suite_lavadero_parrilla_piscina_sum_terraza_garage_amenities_placard_aire-acondicionado_losa-radiante_re-max-liberty,-34.554763,-58.453853
Capital Federal,Liniers,58000.0,39.0,,2.0,,http://liniers.properati.com.ar/zgv8_venta_departamentos_liniers_garage_gabriel-paris-asesor-inmobiliario,-34.6388382,-58.5290425
Capital Federal,Caballito,135000.0,62.0,,3.0,,http://caballito.properati.com.ar/y4s9_venta_departamentos_caballito_balcon_vista_amoblado_placard_re-max-oeste,-34.629853,-58.446472
Capital Federal,Belgrano,155000.0,50.0,,2.0,3500.0,http://belgrano.properati.com.ar/1046t_venta_departamentos_belgrano_suite_gimnasio_parrilla_patio_piscina_terraza_vestidor_luminoso_lujoso_amenities_aire-acondicionado_lexinton-propiedades_937,-34.5675735,-58.4711972
Capital Federal,Almagro,77900.0,40.0,,2.0,,http://almagro.properati.com.ar/11bry_venta_departamentos_boedo_suite_lavadero_terraza_luminoso_placard_re-max-parque,-34.614032,-58.419043
Capital Federal,Caballito,92000.0,46.0,1.0,2.0,,http://caballito.properati.com.ar/y063_venta_departamentos_caballito_re-max-parque,-34.624797,-58.429758
